SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat,YEAR
155432742,2016-07-31,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,BLACK,0,BROOKLYN,77,998004.0,183652.0,40.67075659,-73.95042004,POINT (-73.95042003899994 40.67075658600004),2016
154364144,2016-06-25,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,BLACK,0,BROOKLYN,77,1002729.0,184950.0,40.6743107,-73.93338347,POINT (-73.933383468 40.67431070400005),2016
141089278,2015-02-21,URINATING IN PUBLIC,153.09,Health Code,URINATING,18-24,M,UNKNOWN,0,QUEENS,109,1034334.0,217729.0,40.76415861,-73.81920175,POINT (-73.81920174799995 40.764158605000034),2015
157161299,2016-09-28,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,F,BLACK,0,MANHATTAN,32,999812.0,238138.0,40.82030397,-73.94377637,POINT (-73.94377637099996 40.820303968000076),2016
152072562,2016-04-11,FAILURE TO COMPLY WITH SIGN,3-Jan,Park Regs,PARK REGS,25-44,M,UNKNOWN,0,MANHATTAN,22,994010.0,224718.0,40.78347806,-73.96475834,POINT (-73.96475834099994 40.783478055000046),2016
309112458,2025-07-05,UNREGISTERED VEHICLE,401,VTL,VTL,25-44,M,UNKNOWN,0,BROOKLYN,73,1008805.0,182279.0,40.666965,-73.911488,POINT (-73.911488 40.666965),2025
141038226,2015-02-16,PICK UP HAIL IN BUS STOP,Feb-55,Administrative Code,TLC,45-64,M,UNKNOWN,0,MANHATTAN,28,996933.0,232942.0,40.806047,-73.95418794,POINT (-73.95418793599998 40.806046998000056),2015
238634757,2022-01-04,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BRONX,46,1011035.0,250045.0,40.852951,-73.903178,POINT (-73.903178 40.852951),2022
148481200,2015-12-10,IDLING OF VEHICLE,24-163,Administrative Code,TLC,18-24,M,,0,BROOKLYN,60,995424.0,150488.0,40.57973199,-73.9597755,POINT (-73.95977550099997 40.579731993000046),2015
145151479,2015-08-06,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,UNKNOWN,0,BROOKLYN,72,982967.0,175044.0,40.6471401,-74.00462486,POINT (-74.00462485599996 40.64714010400007),2015
293346379,2024-09-15,OTHER NAVIGATION LAW,9999,ABC,OTHER ABC,25-44,M,WHITE HISPANIC,0,NEW YORK,26,996351.0,236132.0,40.81480348,-73.95628448,POINT (-73.95628448405 40.8148034786258),2024
144645065,2015-07-17,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,M,,0,STATEN ISLAND,120,962932.0,174077.0,40.64446033,-74.07681982,POINT (-74.07681981599995 40.64446033100006),2015
219326728,2020-10-15,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,52,1010990.0,254549.0,40.86532058,-73.90332515,POINT (-73.90332515 40.86532058),2020
198685965,2019-06-19,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,WHITE,0,BROOKLYN,94,994281.0,201000.0,40.71837783,-73.96381514,POINT (-73.96381514399997 40.718377830000065),2019
244072327,2022-04-24,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,WHITE HISPANIC,0,BROOKLYN,70,994445.0,176237.0,40.650402,-73.963258,POINT (-73.963258 40.650402),2022
199763354,2019-07-15,"STREET, OBSTRUCTED WITH OTHER THAN VEHICLE",16-122(B),,,25-44,F,WHITE,0,NEW YORK,14,985668.0,213538.0,40.75279713,-73.99488345,POINT (-73.99488344499997 40.752797126000075),2019
254964135,2022-12-01,SPITTING,181.03,Health Code,SPITTING,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE,0,QUEENS,110,1020507.0,206769.0,40.73413544,-73.86917383,POINT (-73.86917383 40.73413544),2022
166668369,2017-06-28,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,MANHATTAN,19,993887.0,217417.0,40.76343885,-73.96521296,POINT (-73.96521295999997 40.763438853000025),2017
158462288,2016-11-13,CONSUMPTION OF ALCOHOL IN VEHICLE,1227,VTL,VTL,25-44,M,WHITE HISPANIC,0,BROOKLYN,72,978475.0,172272.0,40.63952977,-74.02080983,POINT (-74.02080983299999 40.63952976900004),2016
146750670,2015-10-06,DOG: UNLEASHED,161.05,Health Code,DOG,25-44,M,,0,BROOKLYN,69,1009883.0,173089.0,40.64173705,-73.90763794,POINT (-73.90763794199995 40.64173705300004),2015
244538078,2022-05-03,CONSUMPTION OF ALCOHOL IN VEHICLE,1227,VTL,VTL,25-44,M,BLACK,0,QUEENS,113,1047988.0,186916.0,40.679489,-73.770201,POINT (-73.770201 40.679489),2022
152555199,2016-04-24,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,UNKNOWN,2,BROOKLYN,78,988398.0,187951.0,40.68256609,-73.98504579,POINT (-73.98504578999997 40.682566085000076),2016
140597750,2015-01-16,NOISE (UNREASONABLE),24-218,Administrative Code,NOISE,18-24,M,UNKNOWN,0,BROOKLYN,60,990576.0,154930.0,40.59192919,-73.97722394,POINT (-73.97722394199997 40.59192918600007),2015
148867759,2015-12-26,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,MANHATTAN,26,996937.0,235523.0,40.81313112,-73.95416861,POINT (-73.95416860899996 40.81313112200007),2015
277822506,2023-11-20,DISOBEY TRANSIT SIGN,1050.6,(null),(null),25-44,F,WHITE HISPANIC,1,QUEENS,110,1014343.0,211311.0,40.74663466,-73.89139413,POINT (-73.89139413 40.74663466),2023
263897526,2023-02-19,ACCEPT ON HAIL,19-507,Administrative Code,TLC,25-44,M,BLACK,0,QUEENS,103,1037520.0,194797.0,40.70118915,-73.80788072,POINT (-73.80788072 40.70118915),2023
157306163,2016-10-03,RECKLESS DRIVING,1212,VTL,VTL,18-24,M,BLACK,2,MANHATTAN,25,1002281.0,232565.0,40.80500294,-73.93487092,POINT (-73.93487091499998 40.805002942000044),2016
148155331,2015-11-27,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,,0,MANHATTAN,14,985668.0,213538.0,40.75279713,-73.99488345,POINT (-73.99488344499997 40.75279712600008),2015
314921718,2025-10-22,AGG. UNLICENSED OPER.,511,VTL,VTL,25-44,M,BLACK,0,MANHATTAN,32,1000622.0,235883.0,40.81410488,-73.94085393,POINT (-73.94085393 40.81410488),2025
157652838,2016-10-14,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,F,,2,MANHATTAN,32,1002118.0,242744.0,40.83294176,-73.93543259,POINT (-73.93543259299997 40.83294176100002),2016
296207109,2024-11-08,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,18-24,M,BLACK,0,BRONX,40,1006944.0,238034.0,40.81999479,-73.91800759,POINT (-73.91800758719836 40.81999479317722),2024
190673664,2018-12-01,FAIL TO MAINTAIN FIRE EXTINGUISHER INSPECTION,906,,,25-44,M,UNKNOWN,0,BROOKLYN,63,1003101.0,164534.0,40.61827242,-73.93209943,POINT (-73.93209943 40.61827242),2018
305826031,2025-05-03,UNREGISTERED VEHICLE,401,VTL,VTL,25-44,M,WHITE HISPANIC,0,BRONX,46,1009236.0,249681.0,40.851965,-73.909681,POINT (-73.909681 40.851965),2025
154748906,2016-07-09,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,UNKNOWN,0,MANHATTAN,32,1000977.0,238383.0,40.82097429,-73.93956665,POINT (-73.93956664899997 40.820974294000045),2016
163805494,2017-04-12,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK HISPANIC,0,BRONX,44,1007501.0,243434.0,40.83482308,-73.91597789,POINT (-73.91597788499998 40.834823081000025),2017
144933262,2015-07-29,FAILURE TO COMPLY WITH SIGN,3-Jan,Park Regs,PARK REGS,25-44,F,,0,STATEN ISLAND,122,954943.0,148360.0,40.57384965,-74.10549616,POINT (-74.10549615599997 40.573849649000074),2015
141330436,2015-03-09,DISCON: FIGHTING,240.20-1,Penal Law,DISORDERLY CONDUCT,25-44,F,UNKNOWN,0,BRONX,40,1003813.0,235345.0,40.81263001,-73.92932901,POINT (-73.92932901399996 40.81263001200006),2015
167293999,2017-07-20,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,QUEENS,107,1036790.0,205267.0,40.72993936,-73.81043314,POINT (-73.81043314199997 40.729939364000074),2017
151190072,2016-03-12,VEND:RESTRICTIONS ON PLCMENT VEH/PUSHCARTS,17-315/20465,Administrative Code,VENDING,45-64,F,UNKNOWN,0,QUEENS,110,1018538.0,211977.0,40.74844622,-73.87625343,POINT (-73.87625343099995 40.74844621600005),2016
225648810,2021-03-15,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BROOKLYN,77,983296.0,186687.0,40.67909761,-74.00344092,POINT (-74.00344092199998 40.67909761100003),2021
142801690,2015-05-09,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,,0,BROOKLYN,77,1003382.0,183287.0,40.66974476,-73.93103408,POINT (-73.93103408199994 40.669744755000075),2015
284194664,2024-03-22,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,MANHATTAN,6,981738.0,207989.0,40.737561,-74.009063,POINT (-74.009063 40.737561),2024
